"";"N_size";"n_groups";"n_size";"n_density";"n_to_N_density";"N_density";"inhibition_level";"r_default";"r_active";"number_of_iterations";"threshold_level";"to_A";"to_B";"fixed_for";"n_A";"n_B";"over_time_A";"over_time_B";"event_starts";"event_ends";"initial_time";"initial_FR_A";"initial_FR_B";"initial_FR_C";"initial_bin";"end_time";"end_FR_A";"end_FR_B";"end_FR_C";"end_bin";"end_state"
"15";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;15000;50;50;50;30;0;0;0;0;0;0;50;25,0853842900661;12,0893418265379;5,59132059477377;0,0330869956147605;1000;11,7781347748086;11,7781347748086;8,79029911502263;0,0288670495371814;0
"16";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;15000;50;50;50;30;0;0;0;0;0;0;50;13,9615134992218;11,5334241950093;7,51190128490736;0,0329477173105653;1000;5,50378407703194;7,77004810875097;9,9958431399036;0,0308878396428075;0
"17";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;15000;50;50;50;30;0;0;0;0;0;0;50;16,3649812521714;18,1833125024127;5,64440325595727;0,0329972880310113;1000;7,90767714432306;11,5320291688045;9,14325169812354;0,030350252750556;0
"18";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;15000;50;50;50;30;0;0;0;0;0;0;50;19,8208468775029;31,9149229383521;4,66125848178564;0,0297666393190123;1000;0,327203247852191;54,6429423913159;5,39885358956115;0,0305620438233466;-1
"19";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;15000;50;50;50;30;0;0;0;0;0;0;50;34,8356268840234;12,2781307869919;4,06891543522404;0,0350216174969863;1000;11,7662305128728;15,3614676140284;8,17099341171721;0,030596034949863;0
"20";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;15000;50;50;50;30;0;0;0;0;0;0;50;26,1979114909216;10,6039165558492;5,7307931386391;0,0320636246248517;1000;15,7715115727945;7,22860947086413;8,62504539137197;0,0304346224383457;0
"21";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;15000;50;50;50;30;0;0;0;0;0;0;50;22,3633661761195;17,4618064662851;5,70572184972912;0,0326426707970074;1000;9,57393055332865;11,224608234937;9,07872724884613;0,0302905894694602;0
"22";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;15000;50;50;50;30;0;0;0;0;0;0;50;20,4202272101834;8,62826501838736;6,57905207652036;0,0347694466223142;1000;11,9600107715949;4,92471031771553;9,49765561273709;0,0284280680421713;0
"23";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;15000;50;50;50;30;0;0;0;0;0;0;50;15,8467650511171;14,6942730473995;6,1226137697498;0,0347073991584943;1000;8,43953299398685;12,9838969138259;8,88585445039962;0,0308073918527541;0
"24";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;15000;50;50;50;30;0;0;0;0;0;0;50;44,7505990511952;2,8363055736673;4,76656908907977;0,0317314187990088;1000;61,458566885329;2,65766775720342;4,9416009860501;0,0301015805241892;1
"25";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;15000;50;50;50;30;0;0;0;0;0;0;50;30,8434488335238;7,71086220838095;5,70603803420191;0,0324217958049198;1000;20,7345424721243;4,68199346144742;8,52791666192208;0,0299017931470412;0
"26";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;15000;50;50;50;30;0;0;0;0;0;0;50;16,246060897095;25,135414972864;5,17268448374487;0,0326232927081278;1000;11,1521692700534;10,1681543344604;8,9791362872856;0,0304873421275082;0
"27";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;15000;50;50;50;30;0;0;0;0;0;0;50;44,931060340551;0,325587393772109;4,92450933080315;0,0307137198530462;1000;9,83652410820758;13,3495684325674;8,82652386495412;0,0284653396789186;0
"28";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;15000;50;50;50;30;0;0;0;0;0;0;50;3,23537376863327;17,3533683953966;8,30902808762634;0,0339991629611523;1000;5,64807177915795;8,47210766873692;9,60956656870623;0,0318692833657358;0
"29";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;15000;50;50;50;30;0;0;0;0;0;0;50;7,85152400139559;12,4315796688764;8,62849773070037;0,0305673140599634;1000;13,9077260823541;5,56309043294165;9,47463839360374;0,0287609921011828;0
"30";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;15000;50;50;50;30;0;0;0;0;0;0;50;11,1599766068171;16,2616801985049;7,4532700909814;0,0313620729084865;1000;5,0387070306774;5,66854540951207;10,0774140613548;0,0317541780115146;0
