"";"N_size";"n_groups";"n_size";"n_density";"n_to_N_density";"N_density";"inhibition_level";"r_default";"r_active";"number_of_iterations";"threshold_level";"time_bins";"to_A";"to_B";"n_A";"n_B";"over_time_A";"over_time_B";"event_starts";"event_ends";"bound_th";"time_th";"poolA_th";"poolB_th";"dec_th"
"609";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;4,13235294117647;3,79411764705882;1000;3000;54,0476735420668;1660,15887848517;54,0476735420668;28,6919748433194;1
"610";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,95588235294118;3,53676470588235;1000;3000;52,9963476521377;1577,97024909063;26,3293956488327;52,9963476521377;-1
"611";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,78676470588235;3,82352941176471;1000;3000;53,0105551331509;1746,77614641573;14,785256873872;53,0105551331509;-1
"612";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,91911764705882;3,64705882352941;1000;3000;52,6908117668681;1183,52266824241;52,6908117668681;7,32786123910086;1
"613";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,58088235294118;3,77205882352941;1000;3000;53,3845193856647;1841,77807661171;53,3845193856647;15,8431476886489;1
"614";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,83823529411765;3,77205882352941;1000;3000;53,8546739671825;1901,85168580981;53,8546739671825;21,3386444020912;1
"615";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,81617647058824;3,66911764705882;1000;3000;53,4474601096967;1760,4065326127;22,1788780047041;53,4474601096967;-1
"616";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,94117647058824;3,88970588235294;1000;3000;0;0;0;0;0
"617";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,72058823529412;3,84558823529412;1000;3000;54,2117632982717;1567,86716340012;23,0399994017655;54,2117632982717;-1
"618";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,88235294117647;3,69117647058824;1000;3000;52,9259377054048;1675,16150585971;20,6796710239661;52,9259377054048;-1
"619";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,70588235294118;3,41176470588235;1000;3000;53,7388381625228;1490,42212840043;9,30095275889818;53,7388381625228;-1
"620";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,88970588235294;3,60294117647059;1000;3000;53,2737895686895;1554,63420101635;53,2737895686895;24,1856467980554;1
"621";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,72794117647059;4,08823529411765;1000;3000;52,6262386370518;1474,6576392787;13,4854736507445;52,6262386370518;-1
"622";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,875;3,67647058823529;1000;3000;53,5383789624724;2541,11461993951;53,5383789624724;13,5540199904993;1
"623";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,61029411764706;3,35294117647059;1000;3000;52,6366211193487;2410,52012307858;11,3045092336856;52,6366211193487;-1
"624";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,875;3,80882352941176;1000;3000;52,7816160094606;2076,21528514931;20,3536950624717;52,7816160094606;-1
"625";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,71323529411765;3,76470588235294;1000;3000;53,7380274362506;1381,36607052143;15,353722124643;53,7380274362506;-1
"626";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;4,04411764705882;3,73529411764706;1000;3000;54,086509499631;2236,49667927173;54,086509499631;25,5614325717434;1
"627";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,93382352941176;3,74264705882353;1000;3000;53,9474541555549;1375,08582864335;18,5900010941439;53,9474541555549;-1
"628";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;4,02205882352941;3,25;1000;3000;54,1736370830779;1421,31214164507;54,1736370830779;15,785695573877;1
"629";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;4,19117647058824;3,55882352941176;1000;3000;52,6929107458284;2707,5556697129;52,6929107458284;28,6764140113352;1
"630";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;4,02941176470588;3,47794117647059;1000;3000;52,7937849730039;1754,53273197747;52,7937849730039;19,7527766905797;1
"631";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,86029411764706;3,61764705882353;1000;3000;52,7428151954896;2339,13438881568;52,7428151954896;17,0026180564407;1
"632";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;4,01470588235294;3,32352941176471;1000;3000;54,425359239676;1536,01622849635;7,62648346033677;54,425359239676;-1
"633";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,84558823529412;3,55147058823529;1000;3000;0;0;0;0;0
"634";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,74264705882353;3,32352941176471;1000;3000;52,8057972544993;1682,47042436357;8,17638151037408;52,8057972544993;-1
"635";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,90441176470588;3,38235294117647;1000;3000;52,9112555005963;1435,01714772487;11,2649769775463;52,9112555005963;-1
"636";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,88235294117647;3,31617647058824;1000;3000;52,7602518788161;1483,16031038215;52,7602518788161;16,8026279868841;1
"637";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,95588235294118;3,66176470588235;1000;3000;52,7603603853494;1717,48220583543;52,7603603853494;26,5482068181057;1
"638";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,83823529411765;3,30147058823529;1000;3000;52,9995923747788;2232,29998627895;52,9995923747788;4,10319424836997;1
"639";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,88235294117647;3,80882352941176;1000;3000;52,5409218764836;2135,33689580168;52,5409218764836;23,1904758627238;1
"640";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;4,02205882352941;3,53676470588235;1000;3000;52,5239968396428;1692,42039370949;52,5239968396428;19,331748836813;1
"641";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;4,03676470588235;3,47058823529412;1000;3000;52,8594663698827;1426,50374779553;22,754074927433;52,8594663698827;-1
"642";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,75;3,59558823529412;1000;3000;52,6075756954738;1774,68873361498;24,0688254815893;52,6075756954738;-1
"643";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,5;3,66911764705882;1000;3000;53,2489909639916;2312,53397374686;53,2489909639916;18,0845629689028;1
"644";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;4,14705882352941;3,71323529411765;1000;3000;53,478834780732;1741,27551225327;53,478834780732;16,0810482207796;1
"645";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;4,00735294117647;3,64705882352941;1000;3000;53,3308506082455;1559,85735542379;53,3308506082455;20,6212622351883;1
"646";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;4,125;3,68382352941176;1000;3000;52,7735934515053;1907,00559669178;52,7735934515053;14,1419433432138;1
"647";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,85294117647059;3,56617647058824;1000;3000;52,5611230088034;1435,33137273874;10,2391798069098;52,5611230088034;-1
"648";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,82352941176471;3,58088235294118;1000;3000;52,789469568483;1914,10303365327;23,4619864748813;52,789469568483;-1
"649";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,56617647058824;3,61029411764706;1000;3000;54,1500566891798;1538,71002183341;10,7627441866693;54,1500566891798;-1
"650";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,52941176470588;3,81617647058824;1000;3000;53,5140834423168;1822,18732412186;24,1556626649346;53,5140834423168;-1
"651";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,75;3,66911764705882;1000;3000;52,8789981849719;2189,57921040446;52,8789981849719;21,2889473212225;1
"652";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,89705882352941;3,77205882352941;1000;3000;0;0;0;0;0
"653";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,81617647058824;3,56617647058824;1000;3000;54,4565765372122;1430,9180300754;12,7524894422586;54,4565765372122;-1
"654";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,49264705882353;3,77205882352941;1000;3000;52,7272028083496;1547,10604977062;13,5380655859276;52,7272028083496;-1
"655";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,73529411764706;3,55147058823529;1000;3000;53,3500171947574;1718,95166918229;53,3500171947574;12,1557001203245;1
"656";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,59558823529412;3,64705882352941;1000;3000;52,6585383075772;1480,02399181892;20,6872829065482;52,6585383075772;-1
"657";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;4,02941176470588;3,57352941176471;1000;3000;53,6617616112133;1684,39124117407;53,6617616112133;19,6409062106402;1
"658";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;4,05147058823529;3,53676470588235;1000;3000;53,1650550737118;2631,66301099868;53,1650550737118;14,4355447551138;1
"659";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,80147058823529;3,85294117647059;1000;3000;54,4165441590769;1616,03988774902;54,4165441590769;10,8833088318154;1
"660";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;4,29411764705882;3,66176470588235;1000;3000;53,6096381826725;1789,2907275128;53,6096381826725;13,7374697843098;1
"661";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,92647058823529;3,60294117647059;1000;3000;53,5191884981278;2100,85205207156;33,7101382098597;53,5191884981278;-1
